"Family","Binomial","Toxicity & Dangerousness"
"Elapidae","Pseudechis pailsei","venomous bite – very dangerous"
"Elapidae","Pseudechis papuanus","venomous bite – very dangerous"
"Elapidae","Pseudechis porphyriacus","venomous bite – very dangerous"
"Elapidae","Pseudechis rossignolii","venomous bite – dangerous"
"Elapidae","Pseudechis weigeli","venomous bite – dangerous"
"Colubridae","Pseudelaphe flavirufa","unclear toxicity"
"Colubridae","Pseudelaphe phaescens","unclear toxicity"
"Colubridae","Pseudoboa coronata","unclear toxicity"
"Colubridae","Pseudoboa haasi","unclear toxicity"
"Colubridae","Pseudoboa martinsi","unclear toxicity"
"Colubridae","Pseudoboa neuwiedii","unclear toxicity"
"Colubridae","Pseudoboa nigra","unclear toxicity"
"Colubridae","Pseudoboa serrana","unclear toxicity"
"Lamprophiidae","Pseudoboodon abyssinicus","unclear toxicity"
"Lamprophiidae","Pseudoboodon boehmei","unclear toxicity"
"Lamprophiidae","Pseudoboodon gascae","unclear toxicity"
"Lamprophiidae","Pseudoboodon lemniscatus","unclear toxicity"
"Lamprophiidae","Pseudoboodon sandfordorum","unclear toxicity"
"Viperidae","Pseudocerastes fieldi","venomous bite – very dangerous"
"Viperidae","Pseudocerastes persicus","venomous bite – dangerous"
"Viperidae","Pseudocerastes urarachnoides","venomous bite – very dangerous"
"Colubridae","Pseudoeryx plicatilis","unclear toxicity"
"Colubridae","Pseudoeryx relictualis","unclear toxicity"
"Homalopsidae","Pseudoferania polylepis","venomous bite – unknown dangerousness"
"Colubridae","Pseudoficimia frontalis","unclear toxicity"
"Elapidae","Pseudohaje goldii","venomous bite – very dangerous"
"Elapidae","Pseudohaje nigra","venomous bite – very dangerous"
"Typhlopidae","Pseudoindotyphlops exiguus","non-venomous"
"Typhlopidae","Pseudoindotyphlops porrectus","non-venomous"
"Colubridae","Pseudoleptodeira latifasciata","unclear toxicity"
"Elapidae","Pseudonaja affinis","venomous bite – very dangerous"
"Elapidae","Pseudonaja aspidorhyncha","venomous bite – dangerous"
"Elapidae","Pseudonaja guttata","venomous bite – very dangerous"
"Elapidae","Pseudonaja inframacula","venomous bite – very dangerous"
"Elapidae","Pseudonaja ingrami","venomous bite – very dangerous"
"Elapidae","Pseudonaja mengdeni","venomous bite – very dangerous"
"Elapidae","Pseudonaja modesta","venomous bite – dangerous"
"Elapidae","Pseudonaja nuchalis","venomous bite – very dangerous"
"Elapidae","Pseudonaja textilis","venomous bite – very dangerous"
"Uropeltidae","Pseudoplectrurus canaricus","non-venomous"
"Colubridae","Pseudorabdion albonuchalis","unclear toxicity"
"Colubridae","Pseudorabdion ater","unclear toxicity"
"Colubridae","Pseudorabdion collaris","unclear toxicity"
"Colubridae","Pseudorabdion eiselti","unclear toxicity"
"Colubridae","Pseudorabdion longiceps","unclear toxicity"
"Colubridae","Pseudorabdion mcnamarae","unclear toxicity"
"Colubridae","Pseudorabdion modiglianii","unclear toxicity"
"Colubridae","Pseudorabdion montanum","unclear toxicity"
"Colubridae","Pseudorabdion oxycephalum","unclear toxicity"
"Colubridae","Pseudorabdion sarasinorum","unclear toxicity"
"Colubridae","Pseudorabdion saravacense","unclear toxicity"
"Colubridae","Pseudorabdion sirambense","unclear toxicity"
"Colubridae","Pseudorabdion talonuran","unclear toxicity"
"Colubridae","Pseudorabdion taylori","unclear toxicity"
"Colubridae","Pseudorabdion torquatum","unclear toxicity"
"Colubridae","Pseudoxenodon bambusicola","unclear toxicity"
"Colubridae","Pseudoxenodon baramensis","unclear toxicity"
"Colubridae","Pseudoxenodon inornatus","unclear toxicity"
"Colubridae","Pseudoxenodon karlschmidti","unclear toxicity"
"Colubridae","Pseudoxenodon macrops","unclear toxicity"
"Colubridae","Pseudoxenodon stejnegeri","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Pseudoxyrhopus ambreensis","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus analabe","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus ankafinaensis","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus heterurus","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus imerinae","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus kely","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus microps","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus oblectator","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus quinquelineatus","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus sokosoko","non-venomous"
"Pseudoxyrhophiidae","Pseudoxyrhopus tritaeniatus","non-venomous"
"Colubridae","Psomophis genimaculatus","unclear toxicity"
"Colubridae","Psomophis joberti","unclear toxicity"
"Colubridae","Psomophis obtusus","unclear toxicity"
"Colubridae","Ptyas carinata","unclear toxicity"
"Colubridae","Ptyas dhumnades","unclear toxicity"
"Colubridae","Ptyas dipsas","unclear toxicity"
"Colubridae","Ptyas doriae","unclear toxicity"
"Colubridae","Ptyas fusca","unclear toxicity"
"Colubridae","Ptyas herminae","unclear toxicity"
"Colubridae","Ptyas korros","unclear toxicity"
"Colubridae","Ptyas luzonensis","unclear toxicity"
"Colubridae","Ptyas major","unclear toxicity"
"Colubridae","Ptyas mucosa","unclear toxicity"
"Colubridae","Ptyas multicincta","unclear toxicity"
"Colubridae","Ptyas nigromarginata","unclear toxicity"
"Colubridae","Ptyas semicarinata","unclear toxicity"
"Colubridae","Ptychophis flavovirgatus","unclear toxicity"
"Pythonidae","Python anchietae","non-venomous constrictor – potentially dangerous"
"Pythonidae","Python bivittatus","non-venomous constrictor – very dangerous"
"Pythonidae","Python breitensteini","non-venomous constrictor – dangerous"
"Pythonidae","Python brongersmai","non-venomous constrictor – dangerous"
"Pythonidae","Python curtus","non-venomous constrictor – dangerous"
"Pythonidae","Python kyaiktiyo","non-venomous constrictor – potentially dangerous"
"Pythonidae","Python molurus","non-venomous constrictor – very dangerous"
"Pythonidae","Python natalensis","non-venomous constrictor – very dangerous"
"Pythonidae","Python regius","non-venomous constrictor – potentially dangerous"
"Pythonidae","Python sebae","non-venomous constrictor – very dangerous"
"Pseudaspididae","Pythonodipsas carinata","venomous bite – unknown dangerousness"
"Colubridae","Rabdion forsteni","unclear toxicity"
"Colubridae","Rabdion grovesi","unclear toxicity"
"Homalopsidae","Raclitia indica","venomous bite – potentially dangerous"
"Typhlopidae","Ramphotyphlops acuticauda","non-venomous"
"Typhlopidae","Ramphotyphlops adocetus","non-venomous"
"Typhlopidae","Ramphotyphlops angusticeps","non-venomous"
"Typhlopidae","Ramphotyphlops becki","non-venomous"
"Typhlopidae","Ramphotyphlops bipartitus","non-venomous"
"Typhlopidae","Ramphotyphlops conradi","non-venomous"
"Typhlopidae","Ramphotyphlops cumingii","non-venomous"
"Typhlopidae","Ramphotyphlops depressus","non-venomous"
"Typhlopidae","Ramphotyphlops exocoeti","non-venomous"
"Typhlopidae","Ramphotyphlops flaviventer","non-venomous"
"Typhlopidae","Ramphotyphlops hatmaliyeb","non-venomous"
"Typhlopidae","Ramphotyphlops lineatus","non-venomous"
"Typhlopidae","Ramphotyphlops lorenzi","non-venomous"
"Typhlopidae","Ramphotyphlops mansuetus","non-venomous"
"Typhlopidae","Ramphotyphlops marxi","non-venomous"
"Typhlopidae","Ramphotyphlops mollyozakiae","non-venomous"
"Typhlopidae","Ramphotyphlops multilineatus","non-venomous"
"Typhlopidae","Ramphotyphlops olivaceus","non-venomous"
"Typhlopidae","Ramphotyphlops similis","non-venomous"
"Typhlopidae","Ramphotyphlops suluensis","non-venomous"
"Typhlopidae","Ramphotyphlops supranasalis","non-venomous"
"Typhlopidae","Ramphotyphlops willeyi","non-venomous"
"Colubridae","Regina grahamii","unclear toxicity"
"Colubridae","Regina septemvittata","unclear toxicity"
"Leptotyphlopidae","Rena boettgeri","non-venomous"
"Leptotyphlopidae","Rena bressoni","non-venomous"
"Leptotyphlopidae","Rena dugesii","non-venomous"
"Leptotyphlopidae","Rena dulcis","non-venomous"
"Leptotyphlopidae","Rena humilis","non-venomous"
"Leptotyphlopidae","Rena iversoni","non-venomous"
"Leptotyphlopidae","Rena klauberi",""
"Leptotyphlopidae","Rena maxima","non-venomous"
"Leptotyphlopidae","Rena segrega","non-venomous"
"Leptotyphlopidae","Rena unguirostris","non-venomous"
"Colubridae","Rhabdophis adleri","venomous bite – dangerous"
"Colubridae","Rhabdophis akraios","venomous bite – dangerous"
"Colubridae","Rhabdophis angeli","venomous bite – dangerous"
"Colubridae","Rhabdophis auriculatus","venomous bite – dangerous"
"Colubridae","Rhabdophis barbouri","venomous bite – dangerous"
"Colubridae","Rhabdophis bindi",""
"Colubridae","Rhabdophis callichroma","venomous bite – dangerous"
"Colubridae","Rhabdophis callistus","venomous bite – dangerous"
"Colubridae","Rhabdophis ceylonensis","venomous bite – dangerous"
"Colubridae","Rhabdophis chiwen",""
"Colubridae","Rhabdophis chrysargoides","venomous bite – dangerous"
"Colubridae","Rhabdophis chrysargos","venomous bite – dangerous"
"Colubridae","Rhabdophis confusus",""
"Colubridae","Rhabdophis conspicillatus","venomous bite – dangerous"
"Colubridae","Rhabdophis flaviceps","venomous bite – dangerous"
"Colubridae","Rhabdophis formosanus",""
"Colubridae","Rhabdophis guangdongensis","venomous bite – dangerous"
"Colubridae","Rhabdophis helleri",""
"Colubridae","Rhabdophis himalayanus","venomous bite – dangerous"
"Colubridae","Rhabdophis hmongorum",""
"Colubridae","Rhabdophis kaiyuanensis",""
"Colubridae","Rhabdophis lateralis",""
"Colubridae","Rhabdophis leonardi","venomous bite – dangerous"
"Colubridae","Rhabdophis lineatus","venomous bite – dangerous"
"Colubridae","Rhabdophis murudensis","venomous bite – dangerous"
"Colubridae","Rhabdophis nigrocinctus","venomous bite – dangerous"
"Colubridae","Rhabdophis nuchalis","venomous bite – dangerous"
"Colubridae","Rhabdophis pentasupralabialis","venomous bite – dangerous"
"Colubridae","Rhabdophis plumbicolor","venomous bite – dangerous"
"Colubridae","Rhabdophis rhodomelas","venomous bite – dangerous"
"Colubridae","Rhabdophis siamensis",""
"Colubridae","Rhabdophis subminiatus","venomous bite – dangerous"
"Colubridae","Rhabdophis swinhonis","venomous bite – dangerous"
"Colubridae","Rhabdophis tigrinus","venomous bite – dangerous"
"Colubridae","Rhabdops aquaticus","unclear toxicity"
"Colubridae","Rhabdops olivaceus","unclear toxicity"
"Colubridae","Rhachidelus brazili","unclear toxicity"
"Colubridae","Rhadinaea bogertorum","unclear toxicity"
"Colubridae","Rhadinaea calligaster","unclear toxicity"
"Colubridae","Rhadinaea cuneata","unclear toxicity"
"Colubridae","Rhadinaea decorata","unclear toxicity"
"Colubridae","Rhadinaea flavilata","unclear toxicity"
"Colubridae","Rhadinaea forbesi","unclear toxicity"
"Colubridae","Rhadinaea fulvivittis","unclear toxicity"
"Colubridae","Rhadinaea gaigeae","unclear toxicity"
"Colubridae","Rhadinaea hesperia","unclear toxicity"
"Colubridae","Rhadinaea laureata","unclear toxicity"
"Colubridae","Rhadinaea macdougalli","unclear toxicity"
"Colubridae","Rhadinaea marcellae","unclear toxicity"
"Colubridae","Rhadinaea montana","unclear toxicity"
"Colubridae","Rhadinaea myersi","unclear toxicity"
"Colubridae","Rhadinaea nuchalis",""
"Colubridae","Rhadinaea omiltemana","unclear toxicity"
"Colubridae","Rhadinaea pulveriventris","unclear toxicity"
"Colubridae","Rhadinaea quinquelineata","unclear toxicity"
"Colubridae","Rhadinaea sargenti","unclear toxicity"
"Colubridae","Rhadinaea taeniata","unclear toxicity"
"Colubridae","Rhadinaea vermiculaticeps","unclear toxicity"
"Colubridae","Rhadinella anachoreta","unclear toxicity"
"Colubridae","Rhadinella donaji","unclear toxicity"
"Colubridae","Rhadinella dysmica","unclear toxicity"
"Colubridae","Rhadinella godmani","unclear toxicity"
"Colubridae","Rhadinella hannsteini","unclear toxicity"
"Colubridae","Rhadinella hempsteadae","unclear toxicity"
"Colubridae","Rhadinella kanalchutchan","unclear toxicity"
"Colubridae","Rhadinella kinkelini","unclear toxicity"
"Colubridae","Rhadinella lachrymans","unclear toxicity"
"Colubridae","Rhadinella lisyae","unclear toxicity"
"Colubridae","Rhadinella montecristi","unclear toxicity"
"Colubridae","Rhadinella pegosalyta","unclear toxicity"
"Colubridae","Rhadinella pilonaorum","unclear toxicity"
"Colubridae","Rhadinella posadasi","unclear toxicity"
"Colubridae","Rhadinella rogerromani","unclear toxicity"
"Colubridae","Rhadinella schistosa","unclear toxicity"
"Colubridae","Rhadinella serperaster","unclear toxicity"
"Colubridae","Rhadinella stadelmani","unclear toxicity"
"Colubridae","Rhadinella tolpanorum","unclear toxicity"
"Colubridae","Rhadinella xerophila",""
"Colubridae","Rhadinophanes monticola","unclear toxicity"
"Colubridae","Rhamnophis aethiopissa","unclear toxicity"
"Colubridae","Rhamnophis batesii","unclear toxicity"
"Psammophiidae","Rhamphiophis maradiensis",""
"Psammophiidae","Rhamphiophis oxyrhynchus","venomous bite – potentially dangerous"
"Psammophiidae","Rhamphiophis rostratus","venomous bite – potentially dangerous"
"Psammophiidae","Rhamphiophis rubropunctatus","venomous bite – potentially dangerous"
"Colubridae","Rhinobothryum bovallii","unclear toxicity"
"Colubridae","Rhinobothryum lentiginosum","unclear toxicity"
"Colubridae","Rhinocheilus antonii","unclear toxicity"
"Colubridae","Rhinocheilus etheridgei","unclear toxicity"
"Colubridae","Rhinocheilus lecontei","unclear toxicity"
"Leptotyphlopidae","Rhinoguinea magna","non-venomous"
"Leptotyphlopidae","Rhinoleptus koniagui","non-venomous"
"Uropeltidae","Rhinophis blythii","non-venomous"
"Uropeltidae","Rhinophis dorsimaculatus","non-venomous"
"Uropeltidae","Rhinophis drummondhayi","non-venomous"
"Uropeltidae","Rhinophis erangaviraji","non-venomous"
"Uropeltidae","Rhinophis fergusonianus","non-venomous"
"Uropeltidae","Rhinophis goweri","non-venomous"
"Uropeltidae","Rhinophis gunasekarai",""
"Uropeltidae","Rhinophis homolepis","non-venomous"
"Uropeltidae","Rhinophis karinthandani",""
"Uropeltidae","Rhinophis lineatus","non-venomous"
"Uropeltidae","Rhinophis melanogaster","non-venomous"
"Uropeltidae","Rhinophis melanoleucus",""
"Uropeltidae","Rhinophis mendisi",""
"Uropeltidae","Rhinophis oxyrhynchus","non-venomous"
"Uropeltidae","Rhinophis philippinus","non-venomous"
"Uropeltidae","Rhinophis phillipsi","non-venomous"
"Uropeltidae","Rhinophis porrectus","non-venomous"
"Uropeltidae","Rhinophis punctatus","non-venomous"
"Uropeltidae","Rhinophis roshanpererai","non-venomous"
"Uropeltidae","Rhinophis saffragamus","non-venomous"
"Uropeltidae","Rhinophis sanguineus","non-venomous"
"Uropeltidae","Rhinophis travancoricus","non-venomous"
"Uropeltidae","Rhinophis tricoloratus","non-venomous"
"Uropeltidae","Rhinophis zigzag","non-venomous"
"Elapidae","Rhinoplocephalus bicolor","venomous bite – very dangerous"
"Typhlopidae","Rhinotyphlops ataeniatus","non-venomous"
"Typhlopidae","Rhinotyphlops boylei","non-venomous"
"Typhlopidae","Rhinotyphlops lalandei","non-venomous"
"Typhlopidae","Rhinotyphlops leucocephalus","non-venomous"
"Typhlopidae","Rhinotyphlops schinzi","non-venomous"
"Typhlopidae","Rhinotyphlops scorteccii","non-venomous"
"Typhlopidae","Rhinotyphlops unitaeniatus","non-venomous"
"Colubridae","Rhynchocalamus arabicus","unclear toxicity"
"Colubridae","Rhynchocalamus dayanae","unclear toxicity"
"Colubridae","Rhynchocalamus levitoni","unclear toxicity"
"Colubridae","Rhynchocalamus melanocephalus","unclear toxicity"
"Colubridae","Rhynchocalamus satunini","unclear toxicity"
"Colubridae","Rodriguesophis chui","unclear toxicity"
"Colubridae","Rodriguesophis iglesiasi","unclear toxicity"
"Colubridae","Rodriguesophis scriptorcibatus","unclear toxicity"
"Colubridae","Sahyadriophis beddomei","unclear toxicity"
"Colubridae","Sahyadriophis uttaraghati",""
"Elapidae","Salomonelaps par","unclear toxicity"
"Colubridae","Salvadora bairdi","unclear toxicity"
"Colubridae","Salvadora deserticola","unclear toxicity"
"Colubridae","Salvadora grahamiae","unclear toxicity"
"Colubridae","Salvadora gymnorhachis",""
"Colubridae","Salvadora hexalepis","unclear toxicity"
"Colubridae","Salvadora intermedia","unclear toxicity"
"Colubridae","Salvadora lemniscata","unclear toxicity"
"Colubridae","Salvadora lineata",""
"Colubridae","Salvadora mexicana","unclear toxicity"
"Boidae","Sanzinia madagascariensis",""
"Boidae","Sanzinia volontany",""
"Colubridae","Saphenophis antioquiensis","unclear toxicity"
"Colubridae","Saphenophis atahuallpae","unclear toxicity"
"Colubridae","Saphenophis boursieri","unclear toxicity"
"Colubridae","Saphenophis sneiderni","unclear toxicity"
"Colubridae","Saphenophis tristriatus","unclear toxicity"
"Colubridae","Scaphiodontophis annulatus","non-venomous"
"Colubridae","Scaphiodontophis venustissimus","non-venomous"
"Colubridae","Scaphiophis albopunctatus","unclear toxicity"
"Colubridae","Scaphiophis raffreyi","unclear toxicity"
"Colubridae","Scolecophis atrocinctus","unclear toxicity"
"Colubridae","Seminatrix pygaea","unclear toxicity"
"Colubridae","Senticolis triaspis","unclear toxicity"
"Leptotyphlopidae","Siagonodon borrichianus","non-venomous"
"Leptotyphlopidae","Siagonodon cupinensis","non-venomous"
"Leptotyphlopidae","Siagonodon exiguum",""
"Leptotyphlopidae","Siagonodon septemstriatus","non-venomous"
"Colubridae","Sibon annulatus","unclear toxicity"
"Colubridae","Sibon anthracops","unclear toxicity"
"Colubridae","Sibon argus","unclear toxicity"
"Colubridae","Sibon ayerbeorum",""
"Colubridae","Sibon bevridgelyi",""
"Colubridae","Sibon canopy",""
"Colubridae","Sibon carri","unclear toxicity"
"Colubridae","Sibon dimidiatus","unclear toxicity"
"Colubridae","Sibon dunni","unclear toxicity"
"Colubridae","Sibon irmelindicaprioae",""
"Colubridae","Sibon lamari","unclear toxicity"
"Colubridae","Sibon leucomelas",""
"Colubridae","Sibon linearis","unclear toxicity"
"Colubridae","Sibon longifrenis","unclear toxicity"
"Colubridae","Sibon manzanaresi","unclear toxicity"
"Colubridae","Sibon marleyae",""
"Colubridae","Sibon merendonensis","unclear toxicity"
"Colubridae","Sibon miskitus","unclear toxicity"
"Colubridae","Sibon nebulatus","unclear toxicity"
"Colubridae","Sibon noalamina","unclear toxicity"
"Colubridae","Sibon perissostichon","unclear toxicity"
"Colubridae","Sibon vieirai",""
"Colubridae","Sibynophis bistrigatus","unclear toxicity"
"Colubridae","Sibynophis bivittatus","unclear toxicity"
"Colubridae","Sibynophis chinensis","unclear toxicity"
"Colubridae","Sibynophis collaris","unclear toxicity"
"Colubridae","Sibynophis geminatus","unclear toxicity"
"Colubridae","Sibynophis melanocephalus","unclear toxicity"
"Colubridae","Sibynophis sagittarius","unclear toxicity"
"Colubridae","Sibynophis subpunctatus","unclear toxicity"
"Colubridae","Sibynophis triangularis","unclear toxicity"
"Pythonidae","Simalia amethistina","non-venomous constrictor – dangerous"
"Pythonidae","Simalia boeleni","non-venomous constrictor – very dangerous"
"Pythonidae","Simalia clastolepis","non-venomous constrictor – dangerous"
"Pythonidae","Simalia kinghorni","non-venomous constrictor – very dangerous"
"Pythonidae","Simalia nauta","non-venomous constrictor – potentially dangerous"
"Pythonidae","Simalia tracyae","non-venomous constrictor – dangerous"
"Colubridae","Simophis rhinostoma","unclear toxicity"
"Elapidae","Simoselaps anomalus","venomous bite – unknown dangerousness"
"Elapidae","Simoselaps bertholdi","venomous bite – unknown dangerousness"
"Elapidae","Simoselaps littoralis","venomous bite – unknown dangerousness"
"Elapidae","Simoselaps minimus","venomous bite – unknown dangerousness"
"Elapidae","Sinomicrurus annularis",""
"Elapidae","Sinomicrurus boettgeri",""
"Elapidae","Sinomicrurus gorei",""
"Elapidae","Sinomicrurus iwasakii",""
"Elapidae","Sinomicrurus japonicus","venomous bite – very dangerous"
"Elapidae","Sinomicrurus kelloggi","venomous bite – very dangerous"
"Elapidae","Sinomicrurus macclellandi","venomous bite – very dangerous"
"Elapidae","Sinomicrurus peinani",""
"Elapidae","Sinomicrurus sauteri","venomous bite – very dangerous"
"Elapidae","Sinomicrurus swinhoei",""
"Colubridae","Siphlophis ayauma","unclear toxicity"
"Colubridae","Siphlophis cervinus","unclear toxicity"
"Colubridae","Siphlophis compressus","unclear toxicity"
"Colubridae","Siphlophis leucocephalus","unclear toxicity"
"Colubridae","Siphlophis longicaudatus","unclear toxicity"
"Colubridae","Siphlophis pulcher","unclear toxicity"
"Colubridae","Siphlophis worontzowi","unclear toxicity"
"Viperidae","Sistrurus catenatus","venomous bite – dangerous"
"Viperidae","Sistrurus miliarius","venomous bite – dangerous"
"Viperidae","Sistrurus tergeminus","venomous bite – dangerous"
"Colubridae","Smithophis arunachalensis",""
"Colubridae","Smithophis atemporalis",""
"Colubridae","Smithophis bicolor","unclear toxicity"
"Colubridae","Smithophis linearis",""
"Colubridae","Sonora aemula","unclear toxicity"
"Colubridae","Sonora annulata","unclear toxicity"
"Colubridae","Sonora cincta",""
"Colubridae","Sonora episcopa",""
"Colubridae","Sonora fasciata",""
"Colubridae","Sonora michoacanensis","unclear toxicity"
"Colubridae","Sonora mosaueri",""
"Colubridae","Sonora mutabilis","unclear toxicity"
"Colubridae","Sonora occipitalis","unclear toxicity"
"Colubridae","Sonora palarostris","unclear toxicity"
"Colubridae","Sonora savagei","unclear toxicity"
"Colubridae","Sonora semiannulata","unclear toxicity"
"Colubridae","Sonora straminea","unclear toxicity"
"Colubridae","Sonora taylori",""
"Colubridae","Sordellina punctata","unclear toxicity"
"Colubridae","Spalerosophis arenarius","unclear toxicity"
"Colubridae","Spalerosophis atriceps","unclear toxicity"
"Colubridae","Spalerosophis diadema","venomous bite – unknown dangerousness"
"Colubridae","Spalerosophis dolichospilus","unclear toxicity"
"Colubridae","Spalerosophis josephscorteccii","unclear toxicity"
"Colubridae","Spalerosophis microlepis","unclear toxicity"
"Colubridae","Spilotes megalolepis",""
"Colubridae","Spilotes pullatus","unclear toxicity"
"Colubridae","Spilotes sulphureus","unclear toxicity"
"Colubridae","Stegonotus admiraltiensis","unclear toxicity"
"Colubridae","Stegonotus aplini",""
"Colubridae","Stegonotus aruensis",""
"Colubridae","Stegonotus australis",""
"Colubridae","Stegonotus ayamaru",""
"Colubridae","Stegonotus batjanensis","unclear toxicity"
"Colubridae","Stegonotus borneensis","unclear toxicity"
"Colubridae","Stegonotus caligocephalus",""
"Colubridae","Stegonotus cucullatus","unclear toxicity"
"Colubridae","Stegonotus derooijae","unclear toxicity"
"Colubridae","Stegonotus diehli","unclear toxicity"
"Colubridae","Stegonotus florensis","unclear toxicity"
"Colubridae","Stegonotus guentheri","unclear toxicity"
"Colubridae","Stegonotus heterurus","unclear toxicity"
"Colubridae","Stegonotus iridis","unclear toxicity"
"Colubridae","Stegonotus keyensis",""
"Colubridae","Stegonotus lividus",""
"Colubridae","Stegonotus melanolabiatus","unclear toxicity"
"Colubridae","Stegonotus modestus","unclear toxicity"
"Colubridae","Stegonotus muelleri","unclear toxicity"
"Colubridae","Stegonotus nancuro",""
"Colubridae","Stegonotus parvus","unclear toxicity"
"Colubridae","Stegonotus poechi",""
"Colubridae","Stegonotus reticulatus",""
"Colubridae","Stegonotus sutteri",""
"Colubridae","Stenorrhina degenhardtii","venomous bite – unknown dangerousness"
"Colubridae","Stenorrhina freminvillei","venomous bite – potentially dangerous"
"Colubridae","Stichophanes ningshaanensis","unclear toxicity"
"Xenodermidae","Stoliczkia khasiensis","non-venomous"
"Xenodermidae","Stoliczkia vanhnuailianai",""
"Colubridae","Storeria dekayi","unclear toxicity"
"Colubridae","Storeria hidalgoensis","unclear toxicity"
"Colubridae","Storeria occipitomaculata","unclear toxicity"
"Colubridae","Storeria storerioides","unclear toxicity"
"Colubridae","Storeria victa","unclear toxicity"
"Homalopsidae","Subsessor bocourti","venomous bite – potentially dangerous"
"Homalopsidae","Sumatranus albomaculata","venomous bite – potentially dangerous"
"Typhlopidae","Sundatyphlops polygrammicus","non-venomous"
"Elapidae","Suta dwyeri","venomous bite – dangerous"
"Elapidae","Suta fasciata","venomous bite – dangerous"
"Elapidae","Suta flagellum","venomous bite – dangerous"
"Elapidae","Suta gaikhorstorum",""
"Elapidae","Suta gouldii","venomous bite – dangerous"
"Elapidae","Suta monachus","venomous bite – dangerous"
"Elapidae","Suta nigriceps","venomous bite – dangerous"
"Elapidae","Suta ordensis","venomous bite – dangerous"
"Elapidae","Suta punctata","venomous bite – potentially dangerous"
"Elapidae","Suta spectabilis","venomous bite – dangerous"
"Elapidae","Suta suta","venomous bite – dangerous"
"Colubridae","Symphimus leucostomus","unclear toxicity"
"Colubridae","Symphimus mayae","unclear toxicity"
"Colubridae","Sympholis lippiens","unclear toxicity"
"Colubridae","Synophis bicolor","unclear toxicity"
"Colubridae","Synophis bogerti","unclear toxicity"
"Colubridae","Synophis calamitus","unclear toxicity"
"Colubridae","Synophis insulomontanus","unclear toxicity"
"Colubridae","Synophis lasallei","unclear toxicity"
"Colubridae","Synophis niceforomariae","unclear toxicity"
"Colubridae","Synophis plectovertebralis","unclear toxicity"
"Colubridae","Synophis zaheri","unclear toxicity"
"Colubridae","Synophis zamora","unclear toxicity"
"Colubridae","Tachymenis ocellata","venomous bite – unknown dangerousness"
"Colubridae","Tachymenis peruviana","venomous bite – dangerous"
"Colubridae","Tachymenis trigonatus","unclear toxicity"
"Colubridae","Tachymenoides affinis","venomous bite – dangerous"
"Colubridae","Tachymenoides harrisonfordi",""
"Colubridae","Taeniophallus brevirostris","unclear toxicity"
"Colubridae","Taeniophallus nebularis","unclear toxicity"
"Colubridae","Taeniophallus nicagus","unclear toxicity"
"Colubridae","Tantalophis discolor","unclear toxicity"
"Colubridae","Tantilla albiceps","venomous bite – unknown dangerousness"
"Colubridae","Tantilla alticola","venomous bite – unknown dangerousness"
"Colubridae","Tantilla andinista","venomous bite – unknown dangerousness"
"Colubridae","Tantilla armillata","venomous bite – unknown dangerousness"
"Colubridae","Tantilla atriceps","venomous bite – unknown dangerousness"
"Colubridae","Tantilla bairdi","venomous bite – unknown dangerousness"
"Colubridae","Tantilla berguidoi","venomous bite – unknown dangerousness"
"Colubridae","Tantilla bocourti","venomous bite – unknown dangerousness"
"Colubridae","Tantilla boipiranga","venomous bite – unknown dangerousness"
"Colubridae","Tantilla brevicauda","venomous bite – unknown dangerousness"
"Colubridae","Tantilla briggsi","venomous bite – unknown dangerousness"
"Colubridae","Tantilla calamarina","venomous bite – unknown dangerousness"
"Colubridae","Tantilla capistrata","venomous bite – unknown dangerousness"
"Colubridae","Tantilla carolina",""
"Colubridae","Tantilla cascadae","venomous bite – unknown dangerousness"
"Colubridae","Tantilla ceboruca","venomous bite – unknown dangerousness"
"Colubridae","Tantilla coronadoi","venomous bite – unknown dangerousness"
"Colubridae","Tantilla coronata","venomous bite – unknown dangerousness"
"Colubridae","Tantilla cucullata","venomous bite – unknown dangerousness"
"Colubridae","Tantilla cuniculator","venomous bite – unknown dangerousness"
"Colubridae","Tantilla deppei","venomous bite – unknown dangerousness"
"Colubridae","Tantilla excelsa","venomous bite – harmless to humans"
"Colubridae","Tantilla flavilineata","venomous bite – unknown dangerousness"
"Colubridae","Tantilla gottei","venomous bite – unknown dangerousness"
"Colubridae","Tantilla gracilis","venomous bite – unknown dangerousness"
"Colubridae","Tantilla hendersoni","venomous bite – unknown dangerousness"
"Colubridae","Tantilla hobartsmithi","venomous bite – unknown dangerousness"
"Colubridae","Tantilla impensa","venomous bite – unknown dangerousness"
"Colubridae","Tantilla insulamontana","venomous bite – unknown dangerousness"
"Colubridae","Tantilla jani","venomous bite – unknown dangerousness"
